date,ticker,close
2026-09-17,RTO,22.035
2026-09-17,TXRH,169.015
2026-09-17,UDR,34.415
2026-09-17,DKS,124.27
2026-09-17,ARW,216.88
2026-09-17,JKHY,157.165
2026-09-17,HII,279.305
2026-09-17,KNX,67.56
2026-09-17,AR,35.74
2026-09-17,SCI,80.11
2026-09-17,MOH,208.315
2026-09-17,AVTR,15.9
2026-09-17,UHS,181.96
2026-09-17,GSAT,82.7
2026-09-17,TWST,161.45
2026-09-17,DECK,78.445
2026-09-17,EGP,198.63
2026-09-17,ALGN,149.525
2026-09-17,AES,14.84
2026-09-17,SANM,197.535
2026-09-17,DAR,66.865
2026-09-17,PINS,18.59
2026-09-17,CART,45.125
2026-09-17,OSCR,33.805
2026-09-17,TXG,79.27
2026-09-17,BPOP,161.88
2026-09-17,LFUS,406.11
2026-09-17,QRVO,116.758
2026-09-17,AEIS,256.3733
2026-09-17,RYAN,40.06
2026-09-17,CGNX,60.85
2026-09-17,PAYC,227.01
2026-09-17,ENSG,175.345
2026-09-17,UMBF,134.48
2026-09-17,BXP,63.86
2026-09-17,CPT,101.225
2026-09-17,BIO,380.595
2026-09-17,CLX,84.0
2026-09-17,KRYS,342.25
2026-09-17,EVR,263.0925
2026-09-17,DDS,647.37
2026-09-17,VSAT,73.35
2026-09-17,OC,127.74
2026-09-17,KYMR,121.33
2026-09-17,SSB,103.91
2026-09-17,SNAP,5.955
2026-09-17,COO,52.905
2026-09-17,AM,21.185
2026-09-17,GMED,74.895
2026-09-17,MTCH,43.75
2026-09-17,WTFC,148.55
2026-09-17,DCI,86.42
2026-09-17,MGM,38.72
2026-09-17,ALSN,120.62
2026-09-17,DPZ,300.73
2026-09-17,MOD,187.06
2026-09-17,RRX,148.625
2026-09-17,CFR,159.015
2026-09-17,ORI,40.76
2026-09-17,VICR,212.945
2026-09-17,CYTK,70.41
2026-09-17,FDS,274.79
2026-09-17,GKOS,165.16
2026-09-17,ONB,25.39
2026-09-17,FRT,111.525
2026-09-17,ARE,55.585
2026-09-17,PODD,139.41
2026-09-17,MSGS,399.58
2026-09-17,ZION,65.62
2026-09-17,FCFS,220.415
2026-09-17,WMS,126.61
2026-09-17,ARWR,67.56
2026-09-17,SIRI,28.29
2026-09-17,OGE,46.11
2026-09-17,MUSA,517.93
2026-09-17,ONBPP,24.869
2026-09-17,BRKR,62.36
2026-09-17,ONBPO,24.77
2026-09-17,BAH,78.715
2026-09-17,HSIC,84.46
2026-09-17,PTGX,145.11
2026-09-17,SOLS,58.91
2026-09-17,LTH,41.81
2026-09-17,BSY,30.895
2026-09-17,SATA,99.985
2026-09-17,ESTC,88.77
2026-09-17,EMP,19.9589
2026-09-17,FLS,73.03
2026-09-17,TTEK,36.175
2026-09-17,SAIA,347.105
2026-09-17,RMBS,85.26
2026-09-17,R,240.04
2026-09-17,JEF,47.49
2026-09-17,VMI,475.67
2026-09-17,EAI,19.615
2026-09-17,IBRX,8.625
2026-09-17,RRC,39.065
2026-09-17,HLI,130.535
2026-09-17,PCVX,61.29
2026-09-17,JXN,134.26
2026-09-17,LLYVK,98.61
2026-09-17,NIO,3.61
2026-09-17,ENJ,19.375
2026-09-17,SPXC,180.32
